,,,,,,
Share (%) of population born in non-Nordic/EU15 countries*,No of individuals,,,,,
1,68541,,,,,
2,268598,,,,,
3,392653,,,,,
4,461602,,,,,
5,471385,,,,,
6,417532,,,,,
7,374889,,,,,
8,474329,,,,,
9,408860,,,,,
10,396697,,,,,
11,386096,,,,,
12,415777,,,,,
13,366696,,,,,
14,247761,,,,,
15,223554,,,,,
16,219726,,,,,
17,232543,,,,,
18,188972,,,,,
19,132264,,,,,
20,182899,,,,,
21,145250,,,,,
22,119129,,,,,
23,113549,,,,,
24,93269,,,,,
25,113028,,,,,
26,68888,,,,,
27,71175,,,,,
28,83715,,,,,
29,73558,,,,,
30,61300,,,,,
31,89046,,,,,
32,57124,,,,,
33,45001,,,,,
34,44488,,,,,
35,37088,,,,,
36,39357,,,,,
37,31966,,,,,
38,45908,,,,,
39,26172,,,,,
40,14820,,,,,
41,14065,,,,,
42,35810,,,,,
43,51075,,,,,
44,40987,,,,,
45,25795,,,,,
46,20291,,,,,
47,23077,,,,,
48,30712,,,,,
49,26464,,,,,
50,22641,,,,,
51,32505,,,,,
52,22739,,,,,
53,28945,,,,,
54,15429,,,,,
55,4676,,,,,
56,34886,,,,,
57,11236,,,,,
58,28244,,,,,
59,6513,,,,,
60,9451,,,,,
61,10721,,,,,
63,34904,,,,,
64,7150,,,,,
65,8365,,,,,
66,20737,,,,,
67,36565,,,,,
68,20221,,,,,
69,23026,,,,,
70,18406,,,,,
71,20655,,,,,
72,21561,,,,,
73,14106,,,,,
74,15037,,,,,
75,3408,,,,,
76,9698,,,,,
77,5732,,,,,
78,897,,,,,
79,1559,,,,,
80,5263,,,,,
81,9230,,,,,
