,,,,,,
Share (%) of population with elementary school as highest educational attainment*,No of individuals,,,,,
0,19568,,,,,
1,29903,,,,,
2,140400,,,,,
3,360759,,,,,
4,491115,,,,,
5,587097,,,,,
6,577754,,,,,
7,634652,,,,,
8,614067,,,,,
9,582232,,,,,
10,553989,,,,,
11,587545,,,,,
12,521841,,,,,
13,401281,,,,,
14,380084,,,,,
15,290626,,,,,
16,253360,,,,,
17,246188,,,,,
18,191636,,,,,
19,156907,,,,,
20,140037,,,,,
21,117572,,,,,
22,97025,,,,,
23,95430,,,,,
24,74071,,,,,
25,50317,,,,,
26,25756,,,,,
27,15677,,,,,
28,32298,,,,,
29,44711,,,,,
30,40061,,,,,
31,13834,,,,,
32,25037,,,,,
33,11949,,,,,
34,8478,,,,,
35,31714,,,,,
36,5674,,,,,
37,3724,,,,,
38,3668,,,,,
39,4848,,,,,
40,4892,,,,,
41,5300,,,,,
44,2996,,,,,
46,1914,,,,,
