RegSo,(sum)DEAD,(sum)DEAD_COVID_19,DEAD_per_pop,COVID_19_per_pop,ln_DEAD,ln_COVID_19,ln_DEAD_per_pop,ln_COVID_19_per_pop,Population
1,207,17,"0,01","0,00","5,33","2,83","-4,38","-6,88",16559
2,203,33,"0,01","0,00","5,31","3,50","-4,58","-6,40",19832
3,180,34,"0,01","0,00","5,19","3,53","-4,59","-6,25",17655
4,169,33,"0,01","0,00","5,13","3,50","-4,47","-6,10",14716
5,161,42,"0,01","0,00","5,08","3,74","-4,61","-5,95",16185
6,159,5,"0,02","0,00","5,07","1,61","-4,05","-7,51",9133
7,153,32,"0,01","0,00","5,03","3,47","-4,43","-6,00",12872
8,150,6,"0,02","0,00","5,01","1,79","-3,96","-7,18",7876
9,143,39,"0,01","0,00","4,96","3,66","-4,48","-5,78",12577
10,142,38,"0,01","0,00","4,96","3,64","-4,52","-5,84",13102
11,142,26,"0,01","0,00","4,96","3,26","-4,87","-6,57",18534
12,140,38,"0,02","0,00","4,94","3,64","-4,05","-5,36",8058
13,138,24,"0,01","0,00","4,93","3,18","-4,63","-6,38",14103
14,136,7,"0,01","0,00","4,91","1,95","-4,58","-7,55",13321
15,129,3,"0,02","0,00","4,86","1,10","-4,19","-7,95",8504
16,127,24,"0,01","0,00","4,84","3,18","-4,74","-6,41",14520
17,126,20,"0,01","0,00","4,84","3,00","-4,32","-6,16",9479
18,125,22,"0,01","0,00","4,83","3,09","-4,54","-6,27",11661
19,124,27,"0,02","0,00","4,82","3,30","-4,19","-5,71",8159
20,122,11,"0,01","0,00","4,80","2,40","-4,31","-6,72",9115
21,122,11,"0,02","0,00","4,80","2,40","-3,70","-6,10",4923
22,118,14,"0,02","0,00","4,77","2,64","-3,95","-6,08",6098
23,118,25,"0,02","0,00","4,77","3,22","-4,16","-5,71",7580
24,114,14,"0,03","0,00","4,74","2,64","-3,48","-5,58",3704
25,114,12,"0,01","0,00","4,74","2,48","-4,25","-6,50",7970
26,113,9,"0,01","0,00","4,73","2,20","-4,35","-6,88",8766
27,113,24,"0,02","0,00","4,73","3,18","-3,98","-5,53",6050
28,113,7,"0,02","0,00","4,73","1,95","-4,14","-6,92",7091
29,113,14,"0,03","0,00","4,73","2,64","-3,61","-5,70",4171
30,110,19,"0,01","0,00","4,70","2,94","-4,40","-6,15",8941
31,109,22,"0,02","0,00","4,69","3,09","-3,96","-5,56",5733
32,109,19,"0,01","0,00","4,69","2,94","-4,79","-6,54",13145
33,109,29,"0,01","0,00","4,69","3,37","-4,48","-5,80",9619
34,109,14,"0,02","0,00","4,69","2,64","-4,06","-6,11",6334
35,107,24,"0,02","0,00","4,67","3,18","-4,05","-5,55",6167
36,106,17,"0,02","0,00","4,66","2,83","-4,15","-5,98",6691
37,104,3,"0,02","0,00","4,64","1,10","-3,73","-7,28",4334
38,104,18,"0,02","0,00","4,64","2,89","-3,97","-5,73",5531
39,104,6,"0,01","0,00","4,64","1,79","-4,32","-7,17",7796
40,104,11,"0,02","0,00","4,64","2,40","-3,80","-6,05",4670
